#{"t_start": 1629069804.8606174, "env_id": "PandaTouchEnv_color-v0"}
r,l,t,is_success
1.0,100,342.95661,True
1.0,103,1166.327734,True
1.0,113,1518.187684,True
1.0,106,1620.025292,True
1.0,20,2122.840301,True
1.0,155,2513.478287,True
1.0,10,2523.546054,True
1.0,12,4218.653553,True
1.0,208,4418.290202,True
1.0,202,4851.81339,True
1.0,193,5036.900167,True
1.0,13,5289.506269,True
1.0,172,6417.246468,True
1.0,38,6695.523503,True
1.0,65,6997.548334,True
1.0,10,7007.604126,True
1.0,90,7094.235819,True
1.0,101,7670.163665,True
1.0,198,7860.669394,True
1.0,32,7891.745574,True
1.0,74,7962.883575,True
1.0,198,8392.908945,True
1.0,164,9029.319602,True
1.0,11,9279.486708,True
1.0,65,9342.159709,True
1.0,86,10867.318754,True
1.0,184,11285.67351,True
1.0,9,11774.749399,True
1.0,239,12244.437153,True
1.0,26,12269.867057,True
1.0,247,12746.29777,True
1.0,157,13136.170085,True
1.0,16,13632.023532,True
1.0,14,14368.63595,True
1.0,24,15112.48159,True
1.0,36,15147.466362,True
1.0,156,16021.109869,True
1.0,117,16134.165668,True
1.0,161,16288.622037,True
1.0,127,17131.983258,True
1.0,84,17452.878541,True
1.0,117,18763.246109,True
1.0,94,19092.67438,True
